,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
126,UgyrfvmZgSr-EvBWpP94AaABAg,nice wholesome,1 month ago,@palmsky1119,UCFOFcGaabQx3PKNWQYfs6ig,0,https://yt3.ggpht.com/ytc/AOPolaT0gMzlPoMTA5CHaraNfmj-M6QZsKJw8QjLPXKplQ=s176-c-k-c0x00ffffff-no-rj,False,False,1689633639.986948
127,UgzP2PBqJBQZQXAdW2N4AaABAg,Holy sh two favorite youtuber end earth together make content together its go to guuuuuud,1 month ago,@yyy8882,UC-ng-hLTUNaPGdl8UFMY_FQ,0,https://yt3.ggpht.com/ytc/AOPolaQwD64Ll4YSJ8_i9FiA6ukCyeSSmzDDQp3lqA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.320194
128,UgwwWI_yTuQRoJQRvHN4AaABAg,you try Tanzanian King Crab,1 month ago,@slaychild1,UChpuAIhuFWaVcvgnR2ovuaA,0,https://yt3.ggpht.com/ytc/AOPolaSaX1xtBOa9YkTP_CkE5xj35AVIuCIt1aCa6cG0CQ=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.322216
129,UgyQU1VLf2BU0qDVuSp4AaABAg,this amzing colab Welcome Australia Taku,1 month ago,@nealnolasco5430,UCuXjCfqhbTPjRzN4m-9y8AA,0,https://yt3.ggpht.com/70LPgWqjglREoL3f2KPx9DK0uRFTCpvOGqYMNpe1x-R500cS9t-XuiEILv8sLiibnWyb_FjoRg=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.325195
130,UgwCXpztW4WtwuXj-wB4AaABAg,got to try stone crab sometime there phenomenal,1 month ago,@nattynuts7936,UC4dZsLpsR-fI0oDy-yc-8AQ,0,https://yt3.ggpht.com/ytc/AOPolaSztZOie6yGygGvtqXSvxO3QeFCkL73yN5akA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.328212
131,Ugy4ltr8kGhCHGQg3DZ4AaABAg,there s possible way taste well dungeness crab lol,1 month ago,@ReelLifeLore,UCI-NFBndADa2dWeA1F0QECA,0,https://yt3.ggpht.com/vZ80TXteXWgDkGMEFDW_lE8SbLWhrAkvOT4neVyDYzHVoYu_btIVFAUu--54jXNy9LeqxW_L=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.330212
132,Ugxh0mSyHdfOasl8Yk94AaABAg,what crab empty cage but someone else come take I know happen suck,1 month ago,@SmileyManPrince,UCt2KNzwmyqdRyBm9zRU3Jfw,0,https://yt3.ggpht.com/ytc/AOPolaR_zACOSjzIVml8wg34j4lJJx-HUGtM8hhUtqzM=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.333194
133,UgyDaj5ONIxYu224c3B4AaABAg,lol grow Hawaii call raw Saimin and whoever bring recess popular kid everyone hawaii watch probably think small Samoan crab big boy come then like yup dat da one,1 month ago,@alniques,UCorI0HQeTTPlPKIw04YVpkA,0,https://yt3.ggpht.com/ytc/AOPolaTLjn3o7lpjGw-IHjvJGOhTLy3cPwCzalFzfHhWo4A=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.336195
134,UgzIQBsaPpyQl-wTrJ14AaABAg,what favourite part Australia,1 month ago,@jimmyrecard6021,UCOHoiv5Ad8qaU4ogxR2KENA,0,https://yt3.ggpht.com/i9oFtyA6CLA6h2OwjpTCnTkMEKU75r9j4UFQqbJXqI-mNEesynObBGSRB2S9RHbvr6GQOuN4Ig=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.339194
135,Ugwkn-7Hcnh7YEhhSI14AaABAg,in conclussion Mud crab good flavour among type crab that s mud crab popular around world,1 month ago,@arifnhz,UCHobPnsfRoXRdvAUmRKe22A,0,https://yt3.ggpht.com/ytc/AOPolaT1eePKx0d8A1fcl4O5cr0VSb-9TntbqfLtCFXL=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.342195
136,Ugy4NWowErHdSUx3AW94AaABAg,do not think instant noodle addition turn intended give size pot v crab working,1 month ago,@thewilliammao,UC_BZkamZPkhW6wBm2kS7R8w,1,https://yt3.ggpht.com/ytc/AOPolaTWzfCve116tkwDUsea1A8-53FAMTy3oyAQBNXHmg=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.345215
137,UgwFrbylYD_HP1ckSEF4AaABAg,you make gourmet spread love,1 month ago,@aarondyes224,UC_6j7ZCLHAaKTur0H1G-M6g,0,https://yt3.ggpht.com/ytc/AOPolaQDVCUZGxJ5bIC3RgKTQMiyzX91syv09tC-TA=s176-c-k-c0x00ffffff-no-rj,False,False,1689633640.349213
